날짜,평균기온,온도차이,풍속차이,일조시간차이,지역
2019-11-14,11.2,-3.8,1.2,6.6,제주시
2018-11-15,16,2.7,0.4,4.5,제주시
2017-11-23,9.7,-2.6,2.6,2.1,제주시
2016-11-17,15.8,2.8,0.4,-6.2,제주시
2015-11-12,17.5,2.4,1.1,4.1,제주시
2014-11-13,9.5,-4.8,-2,-0.8,제주시
2013-11-07,17.4,-1,0.6,3.4,제주시
2012-11-08,14.6,0.1,-2.5,1.3,제주시
2011-11-10,16.3,-0.6,-1.3,0,제주시
2010-11-18,9.7,0.6,-0.2,0,제주시
2009-11-12,13.5,-1.5,0.9,0,제주시
2019-11-14,12.3,-3.5,0.5,9.1,서귀포
2018-11-15,16.3,2.3,-0.3,0.7,서귀포
2017-11-23,9,-3.6,0.4,6.6,서귀포
2016-11-17,16.3,1.7,0.8,-7.8,서귀포
2015-11-12,17.4,1.2,1.3,1.7,서귀포
2014-11-13,10.3,-4.3,-0.3,0,서귀포
2013-11-07,18.3,-2,-0.3,2.7,서귀포
2012-11-08,15.3,0.3,-0.5,-2.6,서귀포
2011-11-10,17.2,-0.6,0.3,0,서귀포
2010-11-18,12,0.7,0.2,4.9,서귀포
2009-11-12,14,-1.5,0.1,0,서귀포
